nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;17;microg/m3;"moyenne journalière";V;2021-03-12;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;;;"moyenne journalière";;2021-03-13;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;18;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;29;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;38;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;28;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;15;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;14;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;18;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;21;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;33;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;37;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;25;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;15;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;14;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Loire-Atlantique;Nantes;Chauvinière;107;PM10;;;"moyenne journalière";;2021-03-13;UTC
Loire-Atlantique;Nantes;Bouteillerie;188;PM10;20;microg/m3;"moyenne journalière";V;2021-02-28;UTC
